t=2023-04-18T10:36:44+0000 lvl=info msg="no configuration paths supplied"
t=2023-04-18T10:36:44+0000 lvl=info msg="using configuration at default config path" path=/home/user180423/.config/ngrok/ngrok.yml
t=2023-04-18T10:36:44+0000 lvl=info msg="open config file" path=/home/user180423/.config/ngrok/ngrok.yml err=nil
t=2023-04-18T10:40:06+0000 lvl=info msg="client session established" obj=csess id=3c8844f1b404
t=2023-04-18T10:40:48+0000 lvl=info msg="join connections" obj=join id=5cfc2e747d7c l=127.0.0.1:8080 r=185.186.235.99:50209
t=2023-04-18T10:41:02+0000 lvl=info msg="join connections" obj=join id=b4feb7df33c5 l=127.0.0.1:8080 r=185.186.235.99:50214
t=2023-04-18T10:41:02+0000 lvl=info msg="join connections" obj=join id=e2a8536c8d4e l=127.0.0.1:8080 r=185.186.235.99:50214
t=2023-04-18T10:41:32+0000 lvl=info msg="join connections" obj=join id=ca1ca72649f8 l=127.0.0.1:8080 r=185.186.235.99:50237
t=2023-04-18T10:41:32+0000 lvl=info msg="join connections" obj=join id=733416576478 l=127.0.0.1:8080 r=185.186.235.99:50237
t=2023-04-18T10:41:42+0000 lvl=info msg="join connections" obj=join id=d0ad09d6c797 l=127.0.0.1:8080 r=185.186.235.99:50241
t=2023-04-18T10:41:42+0000 lvl=info msg="join connections" obj=join id=bf03965a060c l=127.0.0.1:8080 r=185.186.235.99:50241
t=2023-04-18T10:41:52+0000 lvl=info msg="join connections" obj=join id=ec97b46feeb2 l=127.0.0.1:8080 r=185.186.235.99:50255
t=2023-04-18T10:41:52+0000 lvl=info msg="join connections" obj=join id=07ee5ade6848 l=127.0.0.1:8080 r=185.186.235.99:50255
t=2023-04-18T10:42:02+0000 lvl=info msg="join connections" obj=join id=8a66948e72aa l=127.0.0.1:8080 r=185.186.235.99:50262
t=2023-04-18T10:42:02+0000 lvl=info msg="join connections" obj=join id=0103cc65921b l=127.0.0.1:8080 r=185.186.235.99:50262
t=2023-04-18T10:42:12+0000 lvl=info msg="join connections" obj=join id=bde42bc8995a l=127.0.0.1:8080 r=185.186.235.99:50264
t=2023-04-18T10:42:12+0000 lvl=info msg="join connections" obj=join id=ed0c76494b13 l=127.0.0.1:8080 r=185.186.235.99:50264
t=2023-04-18T10:42:22+0000 lvl=info msg="join connections" obj=join id=6af84b28180c l=127.0.0.1:8080 r=185.186.235.99:50266
t=2023-04-18T10:42:22+0000 lvl=info msg="join connections" obj=join id=a214fc6e002a l=127.0.0.1:8080 r=185.186.235.99:50266
t=2023-04-18T10:42:32+0000 lvl=info msg="join connections" obj=join id=4987bb8b4571 l=127.0.0.1:8080 r=185.186.235.99:50268
t=2023-04-18T10:42:32+0000 lvl=info msg="join connections" obj=join id=2b3bf105f3cd l=127.0.0.1:8080 r=185.186.235.99:50268
t=2023-04-18T10:42:42+0000 lvl=info msg="join connections" obj=join id=110f6917ab26 l=127.0.0.1:8080 r=185.186.235.99:50271
t=2023-04-18T10:42:42+0000 lvl=info msg="join connections" obj=join id=4c6f9166ac16 l=127.0.0.1:8080 r=185.186.235.99:50271
t=2023-04-18T10:42:52+0000 lvl=info msg="join connections" obj=join id=07944ea40a59 l=127.0.0.1:8080 r=185.186.235.99:50274
t=2023-04-18T10:42:52+0000 lvl=info msg="join connections" obj=join id=074b59913ef6 l=127.0.0.1:8080 r=185.186.235.99:50274
t=2023-04-18T10:43:02+0000 lvl=info msg="join connections" obj=join id=af0a40c8ea6c l=127.0.0.1:8080 r=185.186.235.99:50278
t=2023-04-18T10:43:02+0000 lvl=info msg="join connections" obj=join id=eaffe2797d3e l=127.0.0.1:8080 r=185.186.235.99:50278
t=2023-04-18T10:43:05+0000 lvl=info msg="join connections" obj=join id=14524ff7e91d l=127.0.0.1:8080 r=140.82.115.117:31097
t=2023-04-18T10:45:22+0000 lvl=info msg="join connections" obj=join id=ea34b1924861 l=127.0.0.1:8080 r=185.186.235.99:50358
t=2023-04-18T10:45:22+0000 lvl=info msg="join connections" obj=join id=35642036cdb0 l=127.0.0.1:8080 r=185.186.235.99:50358
t=2023-04-18T10:45:32+0000 lvl=info msg="join connections" obj=join id=bf2526302e05 l=127.0.0.1:8080 r=185.186.235.99:50363
t=2023-04-18T10:45:32+0000 lvl=info msg="join connections" obj=join id=089860c52712 l=127.0.0.1:8080 r=185.186.235.99:50363
t=2023-04-18T10:46:40+0000 lvl=info msg="join connections" obj=join id=b170e491d46e l=127.0.0.1:8080 r=140.82.115.62:53235
t=2023-04-18T10:49:42+0000 lvl=info msg="join connections" obj=join id=400fa7cfd2c9 l=127.0.0.1:8080 r=185.186.235.99:50527
t=2023-04-18T10:49:42+0000 lvl=info msg="join connections" obj=join id=fa633b3877a5 l=127.0.0.1:8080 r=185.186.235.99:50527
t=2023-04-18T10:49:52+0000 lvl=info msg="join connections" obj=join id=23d5f9b8427a l=127.0.0.1:8080 r=185.186.235.99:50531
t=2023-04-18T10:49:52+0000 lvl=info msg="join connections" obj=join id=d92bc66155d8 l=127.0.0.1:8080 r=185.186.235.99:50531
t=2023-04-18T10:50:00+0000 lvl=info msg="join connections" obj=join id=5feddab0b16c l=127.0.0.1:8080 r=185.186.235.99:50541
t=2023-04-18T10:54:06+0000 lvl=info msg="join connections" obj=join id=a398a3c58796 l=127.0.0.1:8080 r=140.82.115.52:20497
t=2023-04-18T10:59:05+0000 lvl=info msg="join connections" obj=join id=e45970240aa9 l=127.0.0.1:8080 r=140.82.115.117:49063
